Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,total_CO2_EMISSION
Manufacturing,North America,Australia,2017,44.84,187.65,25.34,160.27,4.57,16.87,439.54
Energy,South America,Australia,2013,270.25,731.52,82.69,140.19,25.15,13.16,1262.96
Construction,Europe,Brazil,2020,280.49,152.6,92.02,168.9,16.58,1.13,711.72
Mining,Europe,South Africa,2018,198.35,691.85,17.26,79.01,10.18,1.56,998.21
Manufacturing,Asia,South Africa,2012,91.29,919.89,1.07,84.31,1.98,19.5,1118.04
Manufacturing,North America,South Africa,2015,187.99,536.33,87.44,37.8,39.07,17.37,906
Construction,North America,Brazil,2001,180.66,763.19,76.42,103.19,6.16,17.65,1147.27
Construction,Oceania,Brazil,2001,117.68,143.55,15.51,80.37,8.63,2.03,367.77
Manufacturing,Oceania,India,2016,86.53,633.38,83.05,133,8.49,2.55,947
Construction,Europe,South Africa,2021,50.95,63.66,81.07,120.62,49.02,19.75,385.07
Mining,Asia,Germany,2021,65.61,37.38,46.18,171.51,12.74,19.83,353.25
Manufacturing,Europe,Brazil,2019,196.08,634.25,94.69,33.74,9.4,9.4,977.56
Mining,Africa,Germany,2017,265.83,573.02,58.25,183.1,48.46,14.64,1143.3
Mining,Oceania,China,2009,115.79,329.59,44.34,44.18,31.4,14.75,580.05
Construction,Africa,South Africa,2011,37.01,513.17,1.42,144.17,34.16,19.8,749.73
Mining,Asia,Brazil,2002,4.34,684.5,95.28,99.7,40.76,15.62,940.2
Construction,Europe,Brazil,2005,122.07,644.91,12.92,140.56,27.36,6.48,954.3
Energy,Oceania,India,2019,70.15,74.1,29.69,107.3,27.19,13.19,321.62
Construction,Asia,Germany,2004,97.11,678.28,72.97,130.52,49.92,9.73,1038.53
Mining,Europe,India,2020,72.88,659.7,0.63,150.43,34.53,8.9,927.07
Energy,Europe,India,2007,199.41,669.78,54.3,38.71,35.6,9.55,1007.35
Construction,Africa,Germany,2017,191.74,847.43,15.97,68.54,4.5,18.02,1146.2
Mining,South America,China,2015,273.74,576.91,2.35,173.46,5.8,6.87,1039.13
Manufacturing,North America,Germany,2013,210.07,937.93,64.2,167.24,25.43,13.25,1418.12
Manufacturing,Oceania,China,2005,49.9,980.02,60.34,136.25,36.46,19.45,1282.42
Construction,North America,India,2010,225.6,751.97,73.46,61.13,37.72,6.69,1156.57
Construction,Asia,China,2005,54.79,359,61.86,41.33,39.2,13.98,570.16
Manufacturing,North America,South Africa,2004,167.8,143.53,44.25,9.8,35.67,2.86,403.91
Mining,Africa,China,2014,23.58,820.23,47.91,186.82,5.95,17.17,1101.66
Mining,South America,Canada,2005,14.67,147.06,22.09,127.2,41.71,16.68,369.41
Mining,Oceania,China,2020,139.54,146.6,8.46,82.68,38.36,4.28,419.92
Construction,Europe,Canada,2015,31.94,919.08,86.1,138.06,18.74,2.06,1195.98
Energy,Europe,Brazil,2017,92.35,560.09,69.16,91.65,20.49,2.62,836.36
Energy,Africa,Brazil,2020,101.98,293.69,12.38,70.2,27.72,17.94,523.91
Energy,Oceania,Australia,2000,230.94,963,26.5,100.28,49.64,9.73,1380.09
Energy,North America,India,2002,100.14,707.48,86.34,147.35,37.24,15,1093.55
Energy,Europe,Germany,2022,148.54,535.08,95.99,167.56,41.91,9.79,998.87
Construction,North America,China,2019,231.89,329.82,79.14,20.01,10.36,17.46,688.68
Construction,Africa,South Africa,2002,61.87,676.78,57.04,13.06,25.34,9.36,843.45
Energy,Europe,Brazil,2006,241.57,731.03,86.93,68.12,28.18,17.36,1173.19
Construction,Asia,Germany,2013,249.62,712.25,62.72,7.92,2.31,5.48,1040.3
Construction,South America,South Africa,2017,296.66,195.74,69.97,99.01,5.66,1.37,668.41
Energy,North America,China,2014,133.49,697.4,82.71,164.81,10.8,5.81,1095.02
Mining,Oceania,Germany,2012,111.51,581.66,35.46,69.6,44.18,12.37,854.78
Construction,North America,Australia,2018,210.75,850.15,78.48,95.22,38.78,17.28,1290.66
Mining,North America,Canada,2021,17.92,624.96,20.77,114.91,24.37,5.5,808.43
Construction,North America,Canada,2001,12.41,146.7,19.51,182.74,39.23,1.66,402.25
Construction,Africa,South Africa,2006,100.83,318.87,81.15,185.33,26.11,8.71,721
Energy,Africa,USA,2012,218.99,743.95,56.42,126.41,46.1,18.62,1210.49
Construction,Oceania,South Africa,2003,35.38,740.09,41.45,2.14,14.33,8.74,842.13
Manufacturing,Africa,South Africa,2005,190.85,223.1,52.39,38,6.03,6.49,516.86
Manufacturing,Oceania,China,2017,81.22,354.92,97.79,40.42,2.55,13.89,590.79
Energy,Oceania,Canada,2018,195.68,15.81,89.43,119.83,21.97,8.4,451.12
Mining,Africa,Germany,2014,137.36,332.04,50.81,141.55,15.33,14.01,691.1
Mining,Europe,China,2002,34.99,26.83,54.76,17.89,48.37,2.49,185.33
Mining,Africa,China,2019,74.56,872.93,61.46,58,44.13,9.21,1120.29
Manufacturing,Europe,USA,2016,66.3,666.81,79.1,101.48,21.55,1.71,936.95
Mining,Asia,Australia,2015,49.79,969.16,87.39,154.3,0.93,13.98,1275.55
Mining,Africa,South Africa,2012,140.77,891.98,14.74,68.95,4.79,15.22,1136.45
Energy,Asia,Germany,2021,286.42,603.67,62.86,99.49,10.85,2.92,1066.21
Mining,Africa,Australia,2021,197.6,503.18,22.8,99.28,19.67,1.36,843.89
Manufacturing,Asia,India,2019,250.88,883.78,62.22,185.36,40.1,8.22,1430.56
Manufacturing,South America,Brazil,2007,294.33,298.77,17.21,169.06,42.66,16.7,838.73
Manufacturing,Asia,Australia,2020,162.42,223.91,80.82,171.59,49.96,4.64,693.34
Energy,Europe,China,2013,71.8,410.32,66.13,33.4,26.6,11.56,619.81
Energy,North America,China,2003,278.38,53.67,86.61,180.18,47.41,3.81,650.06
Construction,Oceania,Canada,2006,209.85,302.32,94.45,78.81,32.69,13.09,731.21
Mining,Asia,China,2009,287.7,84.14,93.4,108.99,23.95,3.95,602.13
Energy,North America,China,2014,195.48,53.13,14.6,122.9,6.84,7.29,400.24
Manufacturing,South America,Brazil,2015,232.66,551.56,37.74,86.09,45.84,14.5,968.39
Manufacturing,South America,India,2007,267.25,708.31,48.36,68.71,44.7,12.92,1150.25
Energy,Europe,USA,2001,227.9,536.91,78.92,49.68,43.98,8.77,946.16
Energy,Europe,India,2016,169.01,71.04,1.58,102.76,48.19,7.11,399.69
Energy,Asia,Brazil,2005,141.84,395.27,92.55,167.54,40.97,17.83,856
Construction,Africa,Germany,2015,247.1,111.4,40.78,153.07,0.38,3.04,555.77
Manufacturing,South America,USA,2001,231.71,650.24,63.15,102.03,35.78,9.58,1092.49
Construction,North America,USA,2020,110.25,826.49,98.06,68.63,20.85,9.99,1134.27
Construction,Africa,Germany,2017,149.75,117.15,88.28,2.64,47.21,6.74,411.77
Mining,South America,South Africa,2010,190.68,67.32,36.28,41.62,39.24,17.26,392.4
Manufacturing,Asia,China,2011,9,406.25,48.5,37.44,40.18,0.28,541.65
Manufacturing,South America,Canada,2004,74.65,303.82,77.02,117.71,5.53,16.82,595.55
Energy,Europe,Canada,2001,75.44,261.06,74.38,184.16,23.26,4.99,623.29
Energy,North America,Brazil,2021,265.03,211.79,70.51,63.31,22.85,0.4,633.89
Mining,North America,Germany,2017,99.78,317.27,1.17,158.65,24.78,10.4,612.05
Construction,Europe,Canada,2021,163.77,965.39,19.98,66.01,39.83,5.46,1260.44
Energy,Africa,India,2005,249.56,857.74,22.25,192.84,11.1,8.98,1342.47
Energy,Europe,India,2000,78.28,601.56,25.14,39.05,9.05,6.33,759.41
Manufacturing,North America,South Africa,2008,37.57,800.57,9.71,81.44,42.91,6.2,978.4
Manufacturing,Asia,Germany,2014,284.53,15.23,80.68,29.96,41.76,14.96,467.12
Energy,Africa,Brazil,2007,211.55,111.9,34.2,45.32,33.34,16.3,452.61
Manufacturing,Oceania,South Africa,2013,53.53,292.82,77.58,21.28,3.22,14.67,463.1
Mining,South America,South Africa,2003,246,644.08,93.16,21.99,36.03,10.65,1051.91
Energy,Oceania,South Africa,2006,236.24,883.47,31.37,125.74,5.48,12.6,1294.9
Manufacturing,Asia,Canada,2019,251.34,231.52,45.43,156.79,19.9,19.5,724.48
Mining,Oceania,Canada,2007,83.23,139.63,8.84,16.3,41.98,5.84,295.82
Manufacturing,Africa,USA,2009,134.85,848,29.55,44.34,1.63,1.91,1060.28
Manufacturing,North America,USA,2017,208.26,409.43,54.67,64.29,31.75,14.73,783.13
Manufacturing,North America,China,2017,117.5,699.66,18.1,187.36,27.66,6.67,1056.95
Energy,Asia,Canada,2018,21.46,548.25,53.75,119.65,18.91,6.93,768.95
Construction,Oceania,Brazil,2003,41.37,176.32,31.36,21.54,10.73,18.84,300.16
Manufacturing,Africa,India,2012,179.34,700.73,99.01,74.01,8.37,5.55,1067.01
Mining,South America,India,2005,112.86,421.07,37.63,143.06,42.02,0.57,757.21
Energy,Oceania,China,2020,2.11,288.1,4,195.65,5.62,1.75,497.23
Energy,Oceania,India,2012,230.17,902.75,47.35,147.7,48.26,15.71,1391.94
Mining,South America,South Africa,2022,125.3,6.48,33.47,36.32,9.89,16.53,227.99
Manufacturing,Europe,Canada,2021,94.47,405.17,37.07,163.86,36.1,8.99,745.66
Construction,Asia,China,2015,214.2,300.86,37.12,0.77,27.91,4.42,585.28
Manufacturing,Africa,China,2019,136.81,54.95,88.13,96.53,18.78,15.11,410.31
Mining,Asia,Germany,2009,208.6,80.88,49.88,69.08,45.72,3.06,457.22
Energy,South America,USA,2008,4.45,172.7,25.36,189.27,1.8,2.78,396.36
Construction,Africa,Brazil,2006,3.32,505.25,79.27,9.28,38.37,1.76,637.25
Energy,North America,Brazil,2016,168.19,283,44.4,51.19,37.01,1.6,585.39
Mining,North America,USA,2019,294.67,837.94,14.62,52.05,41.8,9.16,1250.24
Manufacturing,Africa,South Africa,2006,82.07,240.36,99.85,84.73,44.6,4.32,555.93
Construction,Asia,Brazil,2001,205.03,720.36,2.83,184.68,22.92,5.41,1141.23
Energy,Asia,India,2018,52.09,210.77,70.95,130.56,33.79,10.77,508.93
Energy,North America,India,2000,93.81,43.03,84.77,24.37,28.8,9.05,283.83
Energy,North America,Brazil,2001,23.88,264.99,35.45,164.99,29.63,5.71,524.65
Manufacturing,South America,Australia,2004,264.3,837.65,15.82,126,1.35,19.43,1264.55
Construction,Africa,Australia,2017,93.48,82.71,43.71,3.33,48.15,2.98,274.36
Manufacturing,Asia,Canada,2005,69.52,344.82,48.3,183.72,8.19,12.38,666.93
Manufacturing,South America,Germany,2005,219.32,8.51,99.97,9.58,20.78,18.24,376.4
Manufacturing,Asia,Brazil,2021,60.23,630.43,2.04,122.03,35.05,0.8,850.58
Mining,North America,China,2015,72.46,942.79,65.62,120.21,10.73,12.8,1224.61
Mining,Africa,South Africa,2015,31.53,384.67,80.46,121.8,5.9,17.02,641.38
Mining,Europe,Canada,2002,288.88,577.13,61.83,169.67,44.8,0.93,1143.24
Construction,Africa,Canada,2002,74.67,452.56,63.03,24.82,29.06,14.33,658.47
Manufacturing,Oceania,China,2022,298.7,973.34,87.54,106.98,6.82,15.69,1489.07
Manufacturing,Europe,USA,2003,53.26,736.13,56.56,114.76,43.66,1.44,1005.81
Mining,South America,South Africa,2005,6.69,44.7,88.17,79.59,9.51,1.06,229.72
Manufacturing,Europe,South Africa,2002,268.76,109.17,21.1,105.66,32.91,9.74,547.34
Manufacturing,Europe,India,2008,174.22,470.75,51.66,100.24,42.79,14.21,853.87
Energy,South America,South Africa,2002,105.75,631.93,3.46,151.82,31.02,8,931.98
Manufacturing,Africa,Germany,2005,154.25,290.75,80.37,29.26,0.45,16.48,571.56
Energy,South America,Brazil,2020,78.59,674.81,77.75,6.01,32.52,16.59,886.27
Manufacturing,Oceania,China,2019,190.61,576.74,53.95,186.31,28.43,3.28,1039.32
Construction,North America,India,2008,185.13,435.38,39.64,62.8,26.45,1.51,750.91
Mining,North America,Canada,2014,24.52,582.51,37.07,158.37,15.38,6.29,824.14
Energy,Europe,Canada,2008,273.25,916.51,20.19,64.02,31.36,3.97,1309.3
Mining,South America,Australia,2004,138.43,243.58,42.85,0.89,0.92,16.04,442.71
Energy,South America,Canada,2020,58.95,791.32,30.46,43.2,25.96,10.7,960.59
Energy,South America,India,2015,92.56,12.45,57.81,21.18,16.48,13.23,213.71
Energy,Oceania,Germany,2002,259.93,85.26,78.67,164.57,2.49,15.18,606.1
Construction,Oceania,Germany,2008,115.26,949.71,69.44,34.24,13.19,17.32,1199.16
Manufacturing,Africa,Germany,2016,168.81,697.88,51.44,198.74,41.85,11.54,1170.26
Energy,Asia,Germany,2002,284.33,633.5,94.87,122.58,12.99,12.01,1160.28
Construction,Asia,Australia,2006,195.69,334.39,19.81,64.65,23.66,13.54,651.74
Energy,Asia,China,2006,202.88,184.75,64.03,101,28.3,12.54,593.5
Manufacturing,Africa,Germany,2020,74.95,380.23,8.9,192.35,14.43,17.94,688.8
Energy,South America,India,2005,200.65,598.59,67.33,127.27,27.22,1.61,1022.67
Construction,Asia,India,2019,118.44,634.56,72.56,150.75,47.78,5.88,1029.97
Manufacturing,South America,Australia,2007,273.36,169.97,78.28,98.8,9.29,0.65,630.35
Construction,Europe,South Africa,2003,39.3,445.78,66.41,106.6,44.62,17.4,720.11
Manufacturing,Asia,Brazil,2014,86.05,566.98,12.35,196.79,28.1,9.93,900.2
Manufacturing,Europe,India,2005,20.27,959.98,4.52,120.93,38.99,16.57,1161.26
Mining,Africa,India,2015,114.58,549.65,71.45,108.43,30,11.75,885.86
Mining,North America,Australia,2004,44.94,580.81,79.84,174.7,15.33,2.33,897.95
Mining,Oceania,China,2011,253.62,765.31,3.36,89.9,28.77,1.64,1142.6
Manufacturing,Africa,Canada,2013,277.55,419.2,15.08,94.78,21.36,0.88,828.85
Energy,Africa,South Africa,2005,200.99,384.18,79.05,142.07,29.73,5.76,841.78
Construction,Africa,India,2002,31.45,591.11,96.79,32.05,28.31,18.49,798.2
Construction,Asia,USA,2018,102.82,783.42,52.1,26.13,33.93,15.03,1013.43
Construction,Europe,India,2009,289.37,637.76,15.42,123.7,36.28,6.24,1108.77
Mining,Oceania,Canada,2006,41.32,186.54,32.19,36.77,27.43,7.21,331.46
Manufacturing,Asia,Brazil,2012,167.17,398,78.16,87.16,40.55,11.59,782.63
Mining,North America,Brazil,2000,106.2,512.84,54.37,160.91,34.32,17.54,886.18
Energy,Oceania,South Africa,2000,299.75,523.98,5.87,62.06,12.78,15.29,919.73
Manufacturing,Africa,South Africa,2016,85.97,339.93,30.91,148.48,46.94,17.69,669.92
Construction,South America,Germany,2021,14.81,522.65,75.3,65.64,3.64,0.4,682.44
Mining,North America,China,2003,210.8,673.14,32.65,8.05,31.69,19.54,975.87
Mining,Europe,Canada,2013,98.36,468.24,43.29,18.42,30.65,4.95,663.91
Energy,North America,Brazil,2005,197.45,451.62,90.51,86.83,22.28,6.58,855.27
Energy,Asia,USA,2013,31.84,801.68,98.47,63.65,23.91,12.93,1032.48
Mining,South America,USA,2014,157.16,756.96,75.74,93.84,38.9,16.41,1139.01
Energy,Asia,Germany,2000,112.88,422.69,24.09,104.66,36.14,6.89,707.35
Construction,Oceania,China,2019,161.26,996.02,24.39,188.54,20.77,13.89,1404.87
Energy,Africa,China,2015,256.11,66.94,30.5,94.49,10.79,18.5,477.33
Energy,Africa,South Africa,2003,291.84,326.33,16.14,171.51,3.18,10.85,819.85
Mining,North America,India,2001,226.06,37.31,17.97,170.15,36.24,11.09,498.82
Mining,Africa,USA,2000,230.17,839.55,25.67,177.5,34.85,14.12,1321.86
Manufacturing,Africa,USA,2012,158.92,755.75,66.02,107.63,14.3,2.65,1105.27
Manufacturing,Oceania,Australia,2015,29.67,683.83,61.29,57.31,47.65,14.28,894.03
Mining,Europe,USA,2007,200.28,214.86,34.16,157.27,32.57,3.28,642.42
Energy,Europe,USA,2021,44.76,707.86,19.75,64.6,33.33,19.22,889.52
Energy,Asia,Australia,2003,74.08,355.63,62.44,179.17,28.21,3.69,703.22
Manufacturing,Asia,Brazil,2001,212.42,868.64,13.17,21.06,32.34,9.19,1156.82
Manufacturing,Europe,China,2012,197.27,199.9,14.71,135.66,49.95,15.91,613.4
Manufacturing,North America,India,2004,94.64,218.23,38.4,96.31,40.09,6.42,494.09
Construction,Europe,Brazil,2022,231.73,960.61,56.78,121.45,21.18,10.52,1402.27
Construction,Asia,China,2019,281.83,517.26,72.86,22.33,9.83,1.46,905.57
Manufacturing,South America,Germany,2020,163.81,446.66,68.73,194.26,37.69,14.75,925.9
Energy,Africa,USA,2012,203.47,352.07,37.91,142.92,43.97,2.19,782.53
Manufacturing,Oceania,India,2004,81.9,831.3,65.5,57.09,26.18,14.6,1076.57
Construction,South America,China,2015,291.26,353.03,21.21,177.91,46.18,2.52,892.11
Energy,South America,Canada,2005,82.47,356.48,49.43,90.62,27.96,2.72,609.68
Construction,Africa,Germany,2015,266.28,123.77,61.57,37.29,10.91,14.57,514.39
Energy,Europe,USA,2021,278.4,520.97,74.47,86.18,21.36,6.58,987.96
Construction,North America,Germany,2012,216.03,923.79,8.05,63.93,21.14,5.94,1238.88
Energy,South America,Australia,2010,243.57,957.56,10.2,141.71,8.79,5.9,1367.73
Energy,North America,Germany,2020,137.63,995.52,7.48,4.35,34.41,11.79,1191.18
Energy,Oceania,Brazil,2000,275.9,473.33,54.69,176.05,42.13,10.18,1032.28
Energy,Oceania,Germany,2003,222.92,775.06,57.05,86.52,10.53,1.67,1153.75
Mining,Oceania,Brazil,2002,98.36,552.76,1.2,22.68,38.42,13.04,726.46
Construction,Asia,Canada,2017,10.97,548.18,65.7,153.6,7.37,15.12,800.94
Construction,South America,South Africa,2022,162.46,806.34,76.36,197.66,16.67,3.24,1262.73
Mining,Oceania,Brazil,2015,252.27,835.44,11.75,180.56,37,4.68,1321.7
Energy,Asia,Australia,2012,258.27,20.28,33.8,33.02,20.05,15.91,381.33
Energy,Oceania,Australia,2012,250.62,942.82,85.01,43.4,0.5,9.49,1331.84
Construction,Europe,Germany,2006,64.82,823.07,68.75,197.54,40.74,6.6,1201.52
Mining,South America,China,2014,128.13,721.25,30.53,40.63,11.29,6.58,938.41
Energy,Asia,Germany,2014,184.34,852.11,74.25,60.41,42.78,19.37,1233.26
Energy,Oceania,Germany,2004,200.43,537.49,88.74,124.61,12.79,8.3,972.36
Energy,Asia,China,2016,100.71,773.38,31,58.34,12.82,14.54,990.79
Manufacturing,Oceania,USA,2021,207.95,598.85,68.46,76.34,44.2,4.84,1000.64
Mining,Europe,India,2021,177.47,543.16,9.43,148.28,17.54,9.53,905.41
Energy,North America,South Africa,2010,170.25,212,5.96,118.7,33.37,18.5,558.78
Manufacturing,Oceania,Canada,2012,199.08,847.49,58.67,162.05,17.92,1.5,1286.71
Mining,North America,USA,2009,181.21,883.93,49.29,155.12,27.11,1.86,1298.52
Energy,South America,Germany,2014,50.48,971.21,81.03,159.87,38.56,13.36,1314.51
Construction,Europe,USA,2001,262.39,120.88,78.05,35.65,45.93,1.25,544.15
Manufacturing,South America,India,2010,72.55,291.93,28.74,51.46,32.63,9.17,486.48
Manufacturing,North America,Australia,2010,223.47,685.56,51.28,36.6,19.1,9.06,1025.07
Energy,Europe,USA,2021,53.35,855.3,75.6,24.61,19.76,4.76,1033.38
Energy,Africa,India,2000,198.46,751.43,27.17,170.07,7.89,11.51,1166.53
Manufacturing,Europe,Canada,2007,268.76,455.86,36.26,0.86,28.32,12.35,802.41
Construction,Europe,USA,2016,3.41,726.11,6.08,125.54,42.13,1.82,905.09
Construction,Africa,Canada,2007,293.91,72.59,13.14,174.59,6.6,13.19,574.02
Mining,Asia,Brazil,2012,9.39,662.71,61.06,33.58,13.13,17.28,797.15
Energy,Asia,Germany,2022,3.9,8.51,49.73,186.33,1.07,8.02,257.56
Construction,Asia,India,2004,257.34,48.02,16.94,191.5,26.35,0.33,540.48
Mining,North America,South Africa,2005,212.76,757.42,0.83,116.2,3,10.25,1100.46
Construction,Europe,Germany,2019,32.19,477.89,16.99,133.46,29,0.52,690.05
Energy,Oceania,Brazil,2013,281.26,60.02,74.99,37.41,14.28,18.16,486.12
Mining,Africa,Australia,2016,201.74,482.12,9.46,196.83,40.16,8.97,939.28
Mining,Oceania,USA,2015,33.76,63.22,40.3,147.92,26.79,0.46,312.45
Mining,North America,Germany,2008,258.24,346.36,23.96,103.29,24.13,9.58,765.56
Construction,Africa,USA,2018,144.53,157.79,54.98,100.25,11.66,11.57,480.78
Energy,Oceania,USA,2001,83.8,219.76,51.2,123.63,46.29,18.14,542.82
Mining,North America,Germany,2003,247.6,196.01,98.3,37.32,47.62,4.58,631.43
Manufacturing,North America,India,2019,221.66,372.08,77.31,119.44,37.73,11.5,839.72
Energy,North America,India,2008,187.1,108.35,93.84,14.08,15.38,10.72,429.47
Manufacturing,Africa,Germany,2003,269.6,527.97,57.84,121,39.44,2.24,1018.09
Manufacturing,Oceania,India,2004,258.45,407.4,73.8,114.99,36.24,19.24,910.12
Mining,Oceania,China,2005,68.42,839.95,89.52,71.58,10.65,6.22,1086.34
Mining,South America,USA,2019,263.67,826.01,4.2,18.14,4.17,14.51,1130.7
Construction,North America,Germany,2000,112.52,824.37,91.55,110.07,9.73,15.72,1163.96
Construction,Asia,South Africa,2012,129.82,469.9,21.26,87.56,43.35,13.83,765.72
Construction,Europe,Brazil,2017,291.71,291.14,70.53,62.55,7.91,2.45,726.29
Energy,South America,Canada,2002,228.08,415.69,77.36,85.66,39.62,7.62,854.03
Construction,South America,Australia,2019,96.79,687.53,11.02,12.28,15.99,16.59,840.2
Manufacturing,Africa,Germany,2004,194.55,530.02,95.31,17.14,36.2,16.47,889.69
Construction,South America,Germany,2012,162.03,624.49,92.66,28.95,44.98,4.97,958.08
Mining,Oceania,USA,2009,35.42,693.87,65.49,110.73,39.43,10.81,955.75
Construction,Africa,Brazil,2002,266.38,918.4,15.62,56.69,26.92,16.43,1300.44
Energy,Africa,USA,2010,246.65,944,56.65,47.1,0.34,12.29,1307.03
Energy,Asia,South Africa,2000,233.42,840.55,34.48,126.13,6.98,4.35,1245.91
Manufacturing,North America,Australia,2014,167.97,65.53,93.08,119.41,39.19,16,501.18
Energy,South America,Canada,2003,66.64,979.35,40.72,67.71,4.95,16.65,1176.02
Construction,North America,Canada,2014,265.23,703.78,69.41,187.44,48.66,18.39,1292.91
Mining,North America,India,2006,106.21,693.55,63.74,79.7,48.52,16.76,1008.48
Energy,North America,Germany,2014,6.53,23.59,27.17,37.99,14.77,12.71,122.76
Manufacturing,Africa,USA,2003,294.54,479.66,53.6,177.76,1.81,9.36,1016.73
Construction,North America,Canada,2002,258.42,626.69,41.06,140.46,37.37,19.96,1123.96
Manufacturing,South America,Australia,2022,186.99,278.87,37.53,149.8,9.64,19.63,682.46
Energy,Africa,South Africa,2013,4.22,83.7,86.41,169.81,36.7,9.63,390.47
Energy,South America,South Africa,2005,68.7,532.68,14.06,159.26,16.81,15.19,806.7
Manufacturing,Africa,Australia,2000,135.89,446.57,41.1,169.57,18.7,6.79,818.62
Construction,Europe,Canada,2008,188.61,44.56,0.77,45.61,30.09,3.95,313.59
Energy,Europe,Canada,2011,212.59,519.66,26.26,123.2,8.28,18.19,908.18
Mining,Europe,China,2017,236.59,108.16,62.21,135.17,48.48,0.93,591.54
Energy,Europe,Germany,2002,166.92,424.84,8.84,58.61,2.26,14.87,676.34
Construction,Africa,South Africa,2020,197.03,270.78,27.19,198.86,47.4,16.88,758.14
Energy,North America,Australia,2018,243.47,970.49,88.03,161.47,15,14.48,1492.94
Manufacturing,Asia,India,2002,216.09,35.22,69.21,182.93,33.36,17.66,554.47
Energy,Oceania,Canada,2013,286.47,560.24,7.12,30.5,49.9,5.57,939.8
Energy,Asia,USA,2003,262.46,152.34,99.24,7.64,11.93,15.73,549.34
Construction,Europe,USA,2012,51.22,319.63,94.52,5.82,23.81,14.31,509.31
Manufacturing,North America,China,2012,284.25,184.31,14.25,173.36,1.27,19.71,677.15
Construction,South America,India,2001,61.65,995.15,92.19,109.33,10.82,18.26,1287.4
Energy,North America,South Africa,2020,297.38,32.85,55.04,61.61,7.02,1.36,455.26
Mining,South America,Australia,2001,210.55,541.59,92.95,161.13,37.73,2.71,1046.66
Energy,Asia,China,2009,188.45,608.24,96.81,128.85,34.64,19.98,1076.97
Construction,North America,South Africa,2010,97.63,772.28,69.39,123.86,24.49,12.32,1099.97
Mining,North America,South Africa,2014,40.37,626.17,29.2,159.54,0.19,1.97,857.44
Construction,Oceania,Germany,2002,38.29,231.73,92.47,93.89,10.37,6.64,473.39
Construction,Asia,Brazil,2013,260.04,598.24,57.39,32.44,33.85,7.71,989.67
Manufacturing,North America,Australia,2017,130.02,974.98,34.22,183.53,0.77,1.54,1325.06
Mining,South America,South Africa,2018,168.18,848.53,46.06,173.07,29.18,12.46,1277.48
Energy,North America,USA,2018,279.58,453.77,40.68,49.8,8.13,18.95,850.91
Construction,South America,South Africa,2000,76.98,477.67,93.54,65.84,29.14,14.08,757.25
Energy,Europe,China,2018,229.3,133.34,82,164.05,39.57,17.18,665.44
Manufacturing,North America,Australia,2002,141.4,570.14,3.23,194.45,43.72,18.49,971.43
Manufacturing,South America,Canada,2019,64.22,280.6,1.08,155.11,21.68,19.63,542.32
Mining,Asia,South Africa,2007,255.97,108.56,7.03,10.57,30.21,16.25,428.59
Manufacturing,Europe,Australia,2016,204.14,474.47,61.08,81.72,26.71,10.37,858.49
Manufacturing,North America,Canada,2000,28.93,45.55,81.47,155.24,27.04,1.5,339.73
Energy,Oceania,Canada,2005,162.76,120.57,51.54,93.25,19.37,1.15,448.64
Manufacturing,South America,USA,2016,255.6,219.43,53.52,135.21,39.48,15.28,718.52
Manufacturing,Oceania,USA,2020,20.55,990.64,24.12,7.37,16.98,5.14,1064.8
Construction,North America,China,2000,125.17,808.58,45.98,42.41,29.65,8.21,1060
Manufacturing,South America,USA,2012,241.66,541.99,25.76,151.83,22.83,16.09,1000.16
Construction,North America,India,2011,257.58,232.95,27.47,38.59,17.22,12.37,586.18
Manufacturing,Europe,India,2004,232.72,519.16,39.18,194.24,18.33,16,1019.63
Manufacturing,Europe,Brazil,2021,92.06,649.17,4.85,73.4,21.72,11.08,852.28
Mining,North America,Australia,2019,152.33,5.06,95.5,38.93,20.45,4.16,316.43
Mining,North America,India,2012,222.51,987.9,91.43,38.95,35.47,15.65,1391.91
Construction,Africa,China,2007,46.2,626.97,79.65,35.1,28.27,14.13,830.32
Manufacturing,North America,South Africa,2011,178.7,988.25,56.89,69.55,25.58,10.16,1329.13
Energy,North America,India,2008,216.25,469.33,81.32,116.36,8.65,11.18,903.09
Mining,Oceania,Brazil,2016,255.07,623.7,97.42,176.64,23.62,1.22,1177.67
Energy,Oceania,Australia,2013,33.95,461.73,28.43,186.71,24.24,14.24,749.3
Mining,Europe,Germany,2006,99.24,9.98,36.49,120.01,35.4,14.95,316.07
Mining,Oceania,Germany,2003,162.73,849.97,72.93,126.6,21.92,13.36,1247.51
Manufacturing,North America,Canada,2006,210.47,449.28,64.32,104.24,26.03,8.99,863.33
Mining,Asia,China,2016,219.15,471.2,82.5,67.4,20.1,0.6,860.95
Energy,North America,Brazil,2016,76.35,360.28,34.76,106.84,48.93,13,640.16
Mining,Africa,India,2000,4.66,432.94,31.12,33.18,42.8,15.16,559.86
Construction,South America,Brazil,2001,208.3,725.69,58.58,64.63,2.26,7.54,1067
Manufacturing,Europe,USA,2017,272.78,700.77,14.67,39.99,42.89,8.25,1079.35
